id,brand,type,subtype,color,gender,price,size
160,Jack and Jones,Shirts,T-shirt,Green,Female,499,XL
161,Jack and Jones,Shirts,T-shirt,Green,Female,499,XXL
162,Jack and Jones,Shirts,T-shirt,Green,Female,799,XS
163,Jack and Jones,Shirts,T-shirt,Green,Female,799,S
164,Jack and Jones,Shirts,T-shirt,Green,Female,799,M
165,Jack and Jones,Shirts,T-shirt,Green,Female,799,L
166,Jack and Jones,Shirts,T-shirt,Green,Female,799,XL
167,Jack and Jones,Shirts,T-shirt,Green,Female,799,XXL
168,Jack and Jones,Shirts,T-shirt,Green,Female,999,XS
169,Jack and Jones,Shirts,T-shirt,Green,Female,999,S
170,Jack and Jones,Shirts,T-shirt,Green,Female,999,M
171,Jack and Jones,Shirts,T-shirt,Green,Female,999,L
172,Jack and Jones,Shirts,T-shirt,Green,Female,999,XL
173,Jack and Jones,Shirts,T-shirt,Green,Female,999,XXL
174,Jack and Jones,Shirts,T-shirt,Green,Female,1599,XS
175,Jack and Jones,Shirts,T-shirt,Green,Female,1599,S
176,Jack and Jones,Shirts,T-shirt,Green,Female,1599,M
177,Jack and Jones,Shirts,T-shirt,Green,Female,1599,L
178,Jack and Jones,Shirts,T-shirt,Green,Female,1599,XL
179,Jack and Jones,Shirts,T-shirt,Green,Female,1599,XXL
180,Jack and Jones,Shirts,T-shirt,Green,Male,199,XS
181,Jack and Jones,Shirts,T-shirt,Green,Male,199,S
182,Jack and Jones,Shirts,T-shirt,Green,Male,199,M
183,Jack and Jones,Shirts,T-shirt,Green,Male,199,L
184,Jack and Jones,Shirts,T-shirt,Green,Male,199,XL
185,Jack and Jones,Shirts,T-shirt,Green,Male,199,XXL
186,Jack and Jones,Shirts,T-shirt,Green,Male,299,XS
187,Jack and Jones,Shirts,T-shirt,Green,Male,299,S
188,Jack and Jones,Shirts,T-shirt,Green,Male,299,M
189,Jack and Jones,Shirts,T-shirt,Green,Male,299,L
190,Jack and Jones,Shirts,T-shirt,Green,Male,299,XL
191,Jack and Jones,Shirts,T-shirt,Green,Male,299,XXL
192,Jack and Jones,Shirts,T-shirt,Green,Male,499,XS
193,Jack and Jones,Shirts,T-shirt,Green,Male,499,S
194,Jack and Jones,Shirts,T-shirt,Green,Male,499,M
195,Jack and Jones,Shirts,T-shirt,Green,Male,499,L
196,Jack and Jones,Shirts,T-shirt,Green,Male,499,XL
197,Jack and Jones,Shirts,T-shirt,Green,Male,499,XXL
198,Jack and Jones,Shirts,T-shirt,Green,Male,799,XS
199,Jack and Jones,Shirts,T-shirt,Green,Male,799,S
200,Jack and Jones,Shirts,T-shirt,Green,Male,799,M
201,Jack and Jones,Shirts,T-shirt,Green,Male,799,L
202,Jack and Jones,Shirts,T-shirt,Green,Male,799,XL
203,Jack and Jones,Shirts,T-shirt,Green,Male,799,XXL
204,Jack and Jones,Shirts,T-shirt,Green,Male,999,XS
205,Jack and Jones,Shirts,T-shirt,Green,Male,999,S
206,Jack and Jones,Shirts,T-shirt,Green,Male,999,M
207,Jack and Jones,Shirts,T-shirt,Green,Male,999,L
208,Jack and Jones,Shirts,T-shirt,Green,Male,999,XL
209,Jack and Jones,Shirts,T-shirt,Green,Male,999,XXL
210,Jack and Jones,Shirts,T-shirt,Green,Male,1599,XS
211,Jack and Jones,Shirts,T-shirt,Green,Male,1599,S
212,Jack and Jones,Shirts,T-shirt,Green,Male,1599,M
213,Jack and Jones,Shirts,T-shirt,Green,Male,1599,L
214,Jack and Jones,Shirts,T-shirt,Green,Male,1599,XL
215,Jack and Jones,Shirts,T-shirt,Green,Male,1599,XXL
216,Jack and Jones,Shirts,T-shirt,Brown,Female,199,XS
217,Jack and Jones,Shirts,T-shirt,Brown,Female,199,S
218,Jack and Jones,Shirts,T-shirt,Brown,Female,199,M
219,Jack and Jones,Shirts,T-shirt,Brown,Female,199,L
220,Jack and Jones,Shirts,T-shirt,Brown,Female,199,XL
221,Jack and Jones,Shirts,T-shirt,Brown,Female,199,XXL
222,Jack and Jones,Shirts,T-shirt,Brown,Female,299,XS
223,Jack and Jones,Shirts,T-shirt,Brown,Female,299,S
224,Jack and Jones,Shirts,T-shirt,Brown,Female,299,M
225,Jack and Jones,Shirts,T-shirt,Brown,Female,299,L
226,Jack and Jones,Shirts,T-shirt,Brown,Female,299,XL
227,Jack and Jones,Shirts,T-shirt,Brown,Female,299,XXL
228,Jack and Jones,Shirts,T-shirt,Brown,Female,499,XS
229,Jack and Jones,Shirts,T-shirt,Brown,Female,499,S
230,Jack and Jones,Shirts,T-shirt,Brown,Female,499,M
231,Jack and Jones,Shirts,T-shirt,Brown,Female,499,L
232,Jack and Jones,Shirts,T-shirt,Brown,Female,499,XL
233,Jack and Jones,Shirts,T-shirt,Brown,Female,499,XXL
234,Jack and Jones,Shirts,T-shirt,Brown,Female,799,XS
235,Jack and Jones,Shirts,T-shirt,Brown,Female,799,S
236,Jack and Jones,Shirts,T-shirt,Brown,Female,799,M
237,Jack and Jones,Shirts,T-shirt,Brown,Female,799,L
238,Jack and Jones,Shirts,T-shirt,Brown,Female,799,XL
239,Jack and Jones,Shirts,T-shirt,Brown,Female,799,XXL
240,Jack and Jones,Shirts,T-shirt,Brown,Female,999,XS
241,Jack and Jones,Shirts,T-shirt,Brown,Female,999,S
242,Jack and Jones,Shirts,T-shirt,Brown,Female,999,M
243,Jack and Jones,Shirts,T-shirt,Brown,Female,999,L
244,Jack and Jones,Shirts,T-shirt,Brown,Female,999,XL
245,Jack and Jones,Shirts,T-shirt,Brown,Female,999,XXL
246,Jack and Jones,Shirts,T-shirt,Brown,Female,1599,XS
247,Jack and Jones,Shirts,T-shirt,Brown,Female,1599,S
248,Jack and Jones,Shirts,T-shirt,Brown,Female,1599,M
249,Jack and Jones,Shirts,T-shirt,Brown,Female,1599,L
250,Jack and Jones,Shirts,T-shirt,Brown,Female,1599,XL
251,Jack and Jones,Shirts,T-shirt,Brown,Female,1599,XXL
252,Jack and Jones,Shirts,T-shirt,Brown,Male,199,XS
253,Jack and Jones,Shirts,T-shirt,Brown,Male,199,S
254,Jack and Jones,Shirts,T-shirt,Brown,Male,199,M
255,Jack and Jones,Shirts,T-shirt,Brown,Male,199,L
256,Jack and Jones,Shirts,T-shirt,Brown,Male,199,XL
257,Jack and Jones,Shirts,T-shirt,Brown,Male,199,XXL
258,Jack and Jones,Shirts,T-shirt,Brown,Male,299,XS
259,Jack and Jones,Shirts,T-shirt,Brown,Male,299,S
260,Jack and Jones,Shirts,T-shirt,Brown,Male,299,M
261,Jack and Jones,Shirts,T-shirt,Brown,Male,299,L
262,Jack and Jones,Shirts,T-shirt,Brown,Male,299,XL
263,Jack and Jones,Shirts,T-shirt,Brown,Male,299,XXL
264,Jack and Jones,Shirts,T-shirt,Brown,Male,499,XS
265,Jack and Jones,Shirts,T-shirt,Brown,Male,499,S
266,Jack and Jones,Shirts,T-shirt,Brown,Male,499,M
267,Jack and Jones,Shirts,T-shirt,Brown,Male,499,L
268,Jack and Jones,Shirts,T-shirt,Brown,Male,499,XL
269,Jack and Jones,Shirts,T-shirt,Brown,Male,499,XXL
270,Jack and Jones,Shirts,T-shirt,Brown,Male,799,XS
271,Jack and Jones,Shirts,T-shirt,Brown,Male,799,S
272,Jack and Jones,Shirts,T-shirt,Brown,Male,799,M
273,Jack and Jones,Shirts,T-shirt,Brown,Male,799,L
274,Jack and Jones,Shirts,T-shirt,Brown,Male,799,XL
275,Jack and Jones,Shirts,T-shirt,Brown,Male,799,XXL
276,Jack and Jones,Shirts,T-shirt,Brown,Male,999,XS
277,Jack and Jones,Shirts,T-shirt,Brown,Male,999,S
278,Jack and Jones,Shirts,T-shirt,Brown,Male,999,M
279,Jack and Jones,Shirts,T-shirt,Brown,Male,999,L
280,Jack and Jones,Shirts,T-shirt,Brown,Male,999,XL
281,Jack and Jones,Shirts,T-shirt,Brown,Male,999,XXL
282,Jack and Jones,Shirts,T-shirt,Brown,Male,1599,XS
283,Jack and Jones,Shirts,T-shirt,Brown,Male,1599,S
284,Jack and Jones,Shirts,T-shirt,Brown,Male,1599,M
285,Jack and Jones,Shirts,T-shirt,Brown,Male,1599,L
286,Jack and Jones,Shirts,T-shirt,Brown,Male,1599,XL
287,Jack and Jones,Shirts,T-shirt,Brown,Male,1599,XXL
288,Jack and Jones,Shirts,T-shirt,Black,Female,199,XS
289,Jack and Jones,Shirts,T-shirt,Black,Female,199,S
290,Jack and Jones,Shirts,T-shirt,Black,Female,199,M
291,Jack and Jones,Shirts,T-shirt,Black,Female,199,L
292,Jack and Jones,Shirts,T-shirt,Black,Female,199,XL
293,Jack and Jones,Shirts,T-shirt,Black,Female,199,XXL
294,Jack and Jones,Shirts,T-shirt,Black,Female,299,XS
295,Jack and Jones,Shirts,T-shirt,Black,Female,299,S
296,Jack and Jones,Shirts,T-shirt,Black,Female,299,M
297,Jack and Jones,Shirts,T-shirt,Black,Female,299,L
298,Jack and Jones,Shirts,T-shirt,Black,Female,299,XL
299,Jack and Jones,Shirts,T-shirt,Black,Female,299,XXL
300,Jack and Jones,Shirts,T-shirt,Black,Female,499,XS
301,Jack and Jones,Shirts,T-shirt,Black,Female,499,S
302,Jack and Jones,Shirts,T-shirt,Black,Female,499,M
303,Jack and Jones,Shirts,T-shirt,Black,Female,499,L
304,Jack and Jones,Shirts,T-shirt,Black,Female,499,XL
305,Jack and Jones,Shirts,T-shirt,Black,Female,499,XXL
306,Jack and Jones,Shirts,T-shirt,Black,Female,799,XS
307,Jack and Jones,Shirts,T-shirt,Black,Female,799,S
308,Jack and Jones,Shirts,T-shirt,Black,Female,799,M
309,Jack and Jones,Shirts,T-shirt,Black,Female,799,L
310,Jack and Jones,Shirts,T-shirt,Black,Female,799,XL
311,Jack and Jones,Shirts,T-shirt,Black,Female,799,XXL
312,Jack and Jones,Shirts,T-shirt,Black,Female,999,XS
313,Jack and Jones,Shirts,T-shirt,Black,Female,999,S
314,Jack and Jones,Shirts,T-shirt,Black,Female,999,M
315,Jack and Jones,Shirts,T-shirt,Black,Female,999,L
316,Jack and Jones,Shirts,T-shirt,Black,Female,999,XL
317,Jack and Jones,Shirts,T-shirt,Black,Female,999,XXL
318,Jack and Jones,Shirts,T-shirt,Black,Female,1599,XS
319,Jack and Jones,Shirts,T-shirt,Black,Female,1599,S
320,Jack and Jones,Shirts,T-shirt,Black,Female,1599,M
321,Jack and Jones,Shirts,T-shirt,Black,Female,1599,L
322,Jack and Jones,Shirts,T-shirt,Black,Female,1599,XL
323,Jack and Jones,Shirts,T-shirt,Black,Female,1599,XXL
324,Jack and Jones,Shirts,T-shirt,Black,Male,199,XS
325,Jack and Jones,Shirts,T-shirt,Black,Male,199,S
326,Jack and Jones,Shirts,T-shirt,Black,Male,199,M
327,Jack and Jones,Shirts,T-shirt,Black,Male,199,L
328,Jack and Jones,Shirts,T-shirt,Black,Male,199,XL
329,Jack and Jones,Shirts,T-shirt,Black,Male,199,XXL
330,Jack and Jones,Shirts,T-shirt,Black,Male,299,XS
331,Jack and Jones,Shirts,T-shirt,Black,Male,299,S
332,Jack and Jones,Shirts,T-shirt,Black,Male,299,M
333,Jack and Jones,Shirts,T-shirt,Black,Male,299,L
334,Jack and Jones,Shirts,T-shirt,Black,Male,299,XL
335,Jack and Jones,Shirts,T-shirt,Black,Male,299,XXL
336,Jack and Jones,Shirts,T-shirt,Black,Male,499,XS
337,Jack and Jones,Shirts,T-shirt,Black,Male,499,S
338,Jack and Jones,Shirts,T-shirt,Black,Male,499,M
339,Jack and Jones,Shirts,T-shirt,Black,Male,499,L
340,Jack and Jones,Shirts,T-shirt,Black,Male,499,XL
341,Jack and Jones,Shirts,T-shirt,Black,Male,499,XXL
342,Jack and Jones,Shirts,T-shirt,Black,Male,799,XS
343,Jack and Jones,Shirts,T-shirt,Black,Male,799,S
344,Jack and Jones,Shirts,T-shirt,Black,Male,799,M
345,Jack and Jones,Shirts,T-shirt,Black,Male,799,L
346,Jack and Jones,Shirts,T-shirt,Black,Male,799,XL
347,Jack and Jones,Shirts,T-shirt,Black,Male,799,XXL
348,Jack and Jones,Shirts,T-shirt,Black,Male,999,XS
349,Jack and Jones,Shirts,T-shirt,Black,Male,999,S
350,Jack and Jones,Shirts,T-shirt,Black,Male,999,M
351,Jack and Jones,Shirts,T-shirt,Black,Male,999,L
352,Jack and Jones,Shirts,T-shirt,Black,Male,999,XL
353,Jack and Jones,Shirts,T-shirt,Black,Male,999,XXL
354,Jack and Jones,Shirts,T-shirt,Black,Male,1599,XS
355,Jack and Jones,Shirts,T-shirt,Black,Male,1599,S
356,Jack and Jones,Shirts,T-shirt,Black,Male,1599,M
357,Jack and Jones,Shirts,T-shirt,Black,Male,1599,L
358,Jack and Jones,Shirts,T-shirt,Black,Male,1599,XL
359,Jack and Jones,Shirts,T-shirt,Black,Male,1599,XXL
360,Jack and Jones,Shirts,T-shirt,White,Female,199,XS
361,Jack and Jones,Shirts,T-shirt,White,Female,199,S
362,Jack and Jones,Shirts,T-shirt,White,Female,199,M
363,Jack and Jones,Shirts,T-shirt,White,Female,199,L
364,Jack and Jones,Shirts,T-shirt,White,Female,199,XL
365,Jack and Jones,Shirts,T-shirt,White,Female,199,XXL
366,Jack and Jones,Shirts,T-shirt,White,Female,299,XS
367,Jack and Jones,Shirts,T-shirt,White,Female,299,S
368,Jack and Jones,Shirts,T-shirt,White,Female,299,M
369,Jack and Jones,Shirts,T-shirt,White,Female,299,L
370,Jack and Jones,Shirts,T-shirt,White,Female,299,XL
371,Jack and Jones,Shirts,T-shirt,White,Female,299,XXL
372,Jack and Jones,Shirts,T-shirt,White,Female,499,XS
373,Jack and Jones,Shirts,T-shirt,White,Female,499,S
374,Jack and Jones,Shirts,T-shirt,White,Female,499,M
375,Jack and Jones,Shirts,T-shirt,White,Female,499,L
376,Jack and Jones,Shirts,T-shirt,White,Female,499,XL
377,Jack and Jones,Shirts,T-shirt,White,Female,499,XXL
378,Jack and Jones,Shirts,T-shirt,White,Female,799,XS
379,Jack and Jones,Shirts,T-shirt,White,Female,799,S
380,Jack and Jones,Shirts,T-shirt,White,Female,799,M
381,Jack and Jones,Shirts,T-shirt,White,Female,799,L
382,Jack and Jones,Shirts,T-shirt,White,Female,799,XL
383,Jack and Jones,Shirts,T-shirt,White,Female,799,XXL
384,Jack and Jones,Shirts,T-shirt,White,Female,999,XS
385,Jack and Jones,Shirts,T-shirt,White,Female,999,S
386,Jack and Jones,Shirts,T-shirt,White,Female,999,M
387,Jack and Jones,Shirts,T-shirt,White,Female,999,L
388,Jack and Jones,Shirts,T-shirt,White,Female,999,XL
389,Jack and Jones,Shirts,T-shirt,White,Female,999,XXL
390,Jack and Jones,Shirts,T-shirt,White,Female,1599,XS
391,Jack and Jones,Shirts,T-shirt,White,Female,1599,S
392,Jack and Jones,Shirts,T-shirt,White,Female,1599,M
393,Jack and Jones,Shirts,T-shirt,White,Female,1599,L
394,Jack and Jones,Shirts,T-shirt,White,Female,1599,XL
395,Jack and Jones,Shirts,T-shirt,White,Female,1599,XXL
396,Jack and Jones,Shirts,T-shirt,White,Male,199,XS
397,Jack and Jones,Shirts,T-shirt,White,Male,199,S
398,Jack and Jones,Shirts,T-shirt,White,Male,199,M
399,Jack and Jones,Shirts,T-shirt,White,Male,199,L
400,Jack and Jones,Shirts,T-shirt,White,Male,199,XL
401,Jack and Jones,Shirts,T-shirt,White,Male,199,XXL
402,Jack and Jones,Shirts,T-shirt,White,Male,299,XS
403,Jack and Jones,Shirts,T-shirt,White,Male,299,S
404,Jack and Jones,Shirts,T-shirt,White,Male,299,M
405,Jack and Jones,Shirts,T-shirt,White,Male,299,L
406,Jack and Jones,Shirts,T-shirt,White,Male,299,XL
407,Jack and Jones,Shirts,T-shirt,White,Male,299,XXL
408,Jack and Jones,Shirts,T-shirt,White,Male,499,XS
409,Jack and Jones,Shirts,T-shirt,White,Male,499,S
410,Jack and Jones,Shirts,T-shirt,White,Male,499,M
411,Jack and Jones,Shirts,T-shirt,White,Male,499,L
412,Jack and Jones,Shirts,T-shirt,White,Male,499,XL
413,Jack and Jones,Shirts,T-shirt,White,Male,499,XXL
414,Jack and Jones,Shirts,T-shirt,White,Male,799,XS
415,Jack and Jones,Shirts,T-shirt,White,Male,799,S
416,Jack and Jones,Shirts,T-shirt,White,Male,799,M
417,Jack and Jones,Shirts,T-shirt,White,Male,799,L
418,Jack and Jones,Shirts,T-shirt,White,Male,799,XL
419,Jack and Jones,Shirts,T-shirt,White,Male,799,XXL
420,Jack and Jones,Shirts,T-shirt,White,Male,999,XS
421,Jack and Jones,Shirts,T-shirt,White,Male,999,S
422,Jack and Jones,Shirts,T-shirt,White,Male,999,M
423,Jack and Jones,Shirts,T-shirt,White,Male,999,L
424,Jack and Jones,Shirts,T-shirt,White,Male,999,XL
425,Jack and Jones,Shirts,T-shirt,White,Male,999,XXL
426,Jack and Jones,Shirts,T-shirt,White,Male,1599,XS
427,Jack and Jones,Shirts,T-shirt,White,Male,1599,S
428,Jack and Jones,Shirts,T-shirt,White,Male,1599,M
429,Jack and Jones,Shirts,T-shirt,White,Male,1599,L
430,Jack and Jones,Shirts,T-shirt,White,Male,1599,XL
431,Jack and Jones,Shirts,T-shirt,White,Male,1599,XXL
432,Jack and Jones,Shirts,Sweatshirt,Red,Female,199,XS
433,Jack and Jones,Shirts,Sweatshirt,Red,Female,199,S
434,Jack and Jones,Shirts,Sweatshirt,Red,Female,199,M
435,Jack and Jones,Shirts,Sweatshirt,Red,Female,199,L
